stockpile_id,mine_site,tonnage_available,cv_kcal_kg,ash_pct,sulfur_pct,moisture_pct,cost_per_tonne_usd
SP-KAL-001,Kalimantan Tengah Pit A,180000,4850,6.2,0.28,32.5,44.50
SP-KAL-002,Kalimantan Timur Pit B,140000,5120,7.5,0.32,28.0,47.80
SP-KAL-003,Kalimantan Selatan Pit C,95000,5480,8.1,0.38,24.5,51.20
SP-KAL-004,Kalimantan Timur Pit D,75000,5820,9.4,0.41,20.8,56.50
SP-KAL-005,Kalimantan Tengah Pit E,60000,6050,9.8,0.35,17.2,61.75
SP-SUM-001,Sumatra Selatan Pit A,220000,4380,5.8,0.25,36.0,41.00
SP-SUM-002,Sumatra Selatan Pit B,165000,4620,6.5,0.27,33.5,43.50
SP-SUM-003,Sumatra Selatan Pit C,110000,5010,7.2,0.30,29.0,46.80
SP-KAL-006,Kalimantan Barat Premium,52000,6180,8.8,0.45,16.0,65.00
SP-KAL-007,Kalimantan Timur HCV,45000,6350,7.2,0.55,14.5,72.00
SP-KAL-008,Kalimantan Selatan HCV,38000,6480,6.8,0.50,13.2,77.50
SP-SUM-004,Sumatra Tengah Select,85000,5650,8.5,0.35,22.0,54.00
SP-KAL-009,Kalimantan Timur Export,48000,6210,7.6,0.48,15.8,67.20
SP-SUM-005,Sumatra Utara Mid-Rank,130000,4950,7.0,0.29,30.2,45.90
SP-KAL-010,Muara Teweh Block B,78000,5380,8.2,0.36,25.5,49.60
